week_start,week,year,clicks,impressions,ctr,position
NA,NA,NA,2090,112191,0.018625,5.4575
NA,NA,NA,3002,168610,0.01721428571,6.77
NA,NA,NA,2999,176915,0.01657142857,7.264285714
NA,NA,NA,3118,184894,0.01632857143,7.401428571
NA,NA,NA,3110,179456,0.01681428571,6.872857143
NA,NA,NA,3061,181840,0.01631428571,6.938571429
NA,NA,NA,3046,172150,0.01708571429,5.61
NA,NA,NA,3044,171644,0.01708571429,5.517142857
NA,NA,NA,2984,174387,0.01655714286,5.911428571
NA,NA,NA,3091,174684,0.01712857143,5.607142857
NA,NA,NA,3104,170351,0.01745714286,5.082857143
NA,NA,NA,3031,169511,0.01731428571,4.781428571
NA,NA,NA,2877,167081,0.01687142857,5.625714286
NA,NA,NA,1362,119462,0.01122857143,6.521428571
NA,NA,NA,1428,107408,0.01257142857,6.231428571
NA,NA,NA,2253,149185,0.01454285714,5.21
NA,NA,NA,2371,157975,0.0144,4.355714286
NA,NA,NA,2470,162619,0.01472857143,4.784285714
NA,NA,NA,2441,166401,0.01408571429,4.597142857
NA,NA,NA,2538,157823,0.01542857143,4.051428571
NA,NA,NA,2480,163328,0.01451428571,5.638571429
NA,NA,NA,2422,153688,0.01518571429,3.995714286
NA,NA,NA,2428,146799,0.0158,4.57
NA,NA,NA,2475,145068,0.01635714286,4.285714286
NA,NA,NA,2793,150512,0.01778571429,4.668571429
NA,NA,NA,2674,147725,0.01737142857,5.208571429
NA,NA,NA,2581,150154,0.01654285714,6.074285714
NA,NA,NA,2609,148975,0.01674285714,5.178571429
NA,NA,NA,2604,148906,0.01692857143,4.724285714
NA,NA,NA,2380,143535,0.01587142857,4.627142857
NA,NA,NA,2321,139896,0.01597142857,5.001428571
NA,NA,NA,1891,116500,0.01557142857,4.224285714
NA,NA,NA,2290,134321,0.01642857143,4.6
NA,NA,NA,2347,138588,0.01634285714,5.53
NA,NA,NA,2505,141699,0.01704285714,4.014285714
NA,NA,NA,2489,137672,0.01738571429,4.257142857
NA,NA,NA,2655,139234,0.01841428571,4.288571429
NA,NA,NA,2424,137521,0.01675714286,4.351428571
NA,NA,NA,2369,137858,0.0165,4.384285714
NA,NA,NA,2492,142033,0.01692857143,4.738571429
NA,NA,NA,2677,142646,0.01802857143,4.321428571
NA,NA,NA,2740,144586,0.01815714286,4.012857143
NA,NA,NA,2829,139464,0.01915714286,4.03
NA,NA,NA,2794,141507,0.01907142857,4.115714286
NA,NA,NA,2546,132255,0.01828571429,4.98
NA,NA,NA,3312,155081,0.02052857143,4.404285714
NA,NA,NA,3397,160583,0.02047142857,4.495714286
NA,NA,NA,3451,163597,0.02025714286,4.375714286
NA,NA,NA,2955,146267,0.01938571429,5.018571429
NA,NA,NA,3236,153565,0.02035714286,4.087142857
NA,NA,NA,3149,142519,0.02134285714,3.991428571
NA,NA,NA,3486,151647,0.02234285714,3.772857143
NA,NA,NA,2853,127113,0.02131428571,4.511428571
NA,NA,NA,3747,159309,0.02282857143,5.285714286
NA,NA,NA,3953,159170,0.02428571429,5.695714286
NA,NA,NA,3741,157740,0.02311428571,4.92
NA,NA,NA,3640,161554,0.02211428571,5.481428571
NA,NA,NA,3620,157405,0.02235714286,5.56
NA,NA,NA,3797,162629,0.0227,5.671428571
NA,NA,NA,3773,166317,0.02245714286,6.077142857
NA,NA,NA,3668,158367,0.02267142857,5.408571429
NA,NA,NA,3687,163862,0.02222857143,6.151428571
NA,NA,NA,3599,158063,0.02225714286,5.855714286
NA,NA,NA,3354,151404,0.02161428571,5.521428571
NA,NA,NA,3156,152587,0.02024285714,6.44
NA,NA,NA,1924,120698,0.0156,6.591428571
NA,NA,NA,1471,94740,0.01515714286,7.804285714
NA,NA,NA,2588,133017,0.01868571429,7.068571429
NA,NA,NA,2856,151700,0.01834285714,7.17
NA,NA,NA,2858,149056,0.01855714286,6.715714286
